iter	RMSE
0	707.1881065
1	681.8597189
2	658.6800786
3	636.3617504
4	615.1885993
5	592.5579315
6	572.5578945
7	551.0158675
8	535.3328333
9	516.5262053
10	499.3859531
11	487.4434502
12	473.0498372
13	459.4491307
14	448.3515707
15	435.2048967
16	423.926728
17	413.1767952
18	404.0116978
19	394.514475
20	387.4938449
21	378.5152038
22	370.9668332
23	365.8121381
24	358.9590613
25	353.6831782
26	349.6221504
27	344.5513604
28	340.384604
29	336.9710074
30	332.3920003
31	328.4859443
32	326.127546
33	322.965143
34	319.6576377
35	316.3951894
36	312.5439883
37	310.1400669
38	307.5833519
39	305.2953356
40	303.5989774
41	301.1733299
42	299.338848
43	297.1458198
44	295.1359989
45	293.4005837
46	290.8763632
47	288.6745285
48	286.3237391
49	284.9781647
50	283.1506868
51	281.6996101
52	280.0114525
53	278.3625889
54	277.2584391
55	275.5671226
56	274.7951997
57	273.1276842
58	271.7392616
59	270.3316258
60	268.4490407
61	266.6264823
62	265.4552726
63	264.2935552
64	263.4384493
65	262.5902504
66	261.4703326
67	260.418986
68	258.9554923
69	258.3375869
70	257.4204083
71	256.506401
72	255.73323
73	254.6838126
74	253.6400023
75	252.8601564
76	251.6341051
77	250.8799921
78	250.2509083
79	249.6458949
80	248.5934034
81	247.6446502
82	247.0062307
83	246.2466012
84	245.4777377
85	244.6385989
86	243.5489867
87	243.0177585
88	242.3795854
89	241.7576598
90	240.9378458
91	240.1980137
92	239.4393027
93	238.4670405
94	237.7408889
95	236.9424096
96	236.4290464
97	235.8596016
98	235.3023441
99	234.6727964
100	234.158664
101	233.2856979
102	232.9486221
103	232.4527782
104	231.8069577
105	230.9677222
106	230.4099904
107	229.9350915
108	229.3421083
109	228.8959343
110	228.3149371
111	227.6351127
112	226.9041855
113	226.1607047
114	225.6858158
115	225.2442141
116	224.8788814
117	224.2157324
118	223.6124592
119	222.981701
120	222.515056
121	221.6954362
122	221.2777885
123	220.9151182
124	220.4455515
125	219.683572
126	219.1805806
127	218.8177975
128	218.3911445
129	217.8616866
130	217.3041223
131	216.6709161
132	215.9464416
133	215.4951487
134	214.9652559
135	214.2530865
136	213.7606854
137	213.4355185
138	212.9794533
139	212.3157953
140	211.8525502
141	211.2396499
142	210.4853945
143	210.1635948
144	209.6659184
145	209.1507226
146	208.7767778
147	208.2030925
148	207.8332964
149	207.3354378
150	206.6967527
151	206.2031892
152	205.5492554
153	205.0617789
154	204.811572
155	204.1204991
156	203.6937827
157	203.1857824
158	202.5462623
159	202.2065392
160	201.6642921
161	201.1425186
162	200.7040877
163	200.3673479
164	200.0219242
165	199.5716998
166	199.0577536
167	198.7889753
168	198.460318
169	198.0135947
170	197.4883153
171	197.2012726
172	196.8334501
173	196.3428406
174	196.1422702
175	195.8653534
176	195.3194187
177	194.9570185
178	194.6497017
179	194.1727994
180	193.7015079
181	193.278672
182	192.7011756
183	192.2154328
184	191.9785627
185	191.7400282
186	191.375544
187	191.0384331
188	190.6406716
189	190.1701848
190	189.8278279
191	189.6203578
192	189.3508843
193	188.7922257
194	188.4621321
195	188.1896795
196	187.7473946
197	187.3216089
198	186.8302061
199	186.2897483
200	185.9896551
201	185.6753617
202	185.2989895
203	185.1376912
204	184.8448297
205	184.5090508
206	184.0557177
207	183.7945916
208	183.474358
209	183.1756381
210	182.9781453
211	182.5632552
212	182.2577188
213	182.0588431
214	181.6501877
215	181.3124109
216	181.0162227
217	180.7155416
218	180.4419788
219	180.2220711
220	180.0296405
221	179.8145006
222	179.4793511
223	179.0939649
224	178.8020254
225	178.4110539
226	178.1392759
227	177.8115399
228	177.4714847
229	177.2340193
230	176.988482
231	176.5882272
232	176.216486
233	175.6779914
234	175.3616648
235	175.1766313
236	174.9777129
237	174.6754223
238	174.4317527
239	173.9980195
240	173.7744434
241	173.572622
242	173.2168502
243	172.8125323
244	172.6464413
245	172.3286252
246	172.1916219
247	171.8560178
248	171.5587074
249	171.3382918
250	171.114289
251	170.8080591
252	170.4877156
253	170.1620243
254	169.8551302
255	169.6091858
256	169.2720115
257	168.6578064
258	168.4488379
259	168.1670225
260	167.8570354
261	167.613549
262	167.2766765
263	166.9699135
264	166.6413287
265	166.174337
266	165.9579268
267	165.7672432
268	165.5142674
269	165.1034444
270	164.9762927
271	164.713956
272	164.4097334
273	164.2320181
274	163.9381022
275	163.6940816
276	163.4970224
277	163.2552926
278	163.0760867
279	162.9383096
280	162.6965411
281	162.5280808
282	162.3391979
283	162.1864174
284	162.038651
285	161.7442592
286	161.4705734
287	161.2912283
288	161.067881
289	160.7913265
290	160.5290173
291	160.3530797
292	160.0680021
293	159.8935295
294	159.6623708
295	159.4515905
296	159.2414949
297	158.9616746
298	158.6834331
299	158.5531571
300	158.3051603
301	158.0554004
302	157.8096468
303	157.604968
304	157.4881705
305	157.2666591
306	157.1808596
307	157.0832453
308	156.8125621
309	156.6283652
310	156.3727748
311	156.1904214
312	155.9089269
313	155.6308302
314	155.3920188
315	155.0506575
316	154.8844389
317	154.5944337
318	154.3737892
319	153.9099217
320	153.6425422
321	153.4175974
322	153.2471293
323	153.0512647
324	152.8241524
325	152.6197281
326	152.373076
327	152.0737041
328	151.8449752
329	151.6927639
330	151.5169346
331	151.3951317
332	151.0435569
333	150.8042253
334	150.5841655
335	150.4046602
336	150.1657638
337	149.9127663
338	149.6824132
339	149.5551372
340	149.4051531
341	149.1568753
342	148.9719258
343	148.8227933
344	148.6705129
345	148.475718
346	148.2701801
347	148.1251536
348	147.9612156
349	147.6849273
350	147.4298535
351	147.1537057
352	146.9536057
353	146.522614
354	146.3370781
355	146.129439
356	145.8655162
357	145.4322503
358	145.2159392
359	145.133184
360	144.9868336
361	144.8134288
362	144.5586864
363	144.4516627
364	144.2579
365	144.1328391
366	143.9099701
367	143.7109997
368	143.4588873
369	143.2581948
370	143.0682533
371	142.7467126
372	142.6361257
373	142.474194
374	142.2715983
375	141.9933398
376	141.7877195
377	141.6021116
378	141.4143725
379	141.1823211
380	140.9301124
381	140.8451655
382	140.7865165
383	140.6281494
384	140.5291303
385	140.4244018
386	140.1196611
387	140.0485207
388	139.8420984
389	139.7482505
390	139.6585559
391	139.5576649
392	139.3677125
393	139.1237675
394	139.0793543
395	138.9634161
396	138.7844141
397	138.6590516
398	138.4305198
399	138.2595867
400	138.0522172
401	137.7896377
402	137.680052
403	137.4815415
404	137.394702
405	137.2180173
406	137.0183364
407	136.9043725
408	136.7256066
409	136.6349762
410	136.4718877
411	136.2420258
412	136.0740356
413	135.9722692
414	135.74105
415	135.5192354
416	135.3221488
417	135.0900158
418	134.9214853
419	134.7810968
420	134.6631482
421	134.5305087
422	134.3094225
423	134.1776256
424	134.0256206
425	133.833821
426	133.7089453
427	133.6115054
428	133.4298366
429	133.1988262
430	132.8436047
431	132.7028091
432	132.6623767
433	132.4377712
434	132.3333039
435	132.1630349
436	131.9611884
437	131.827884
438	131.7095434
439	131.5265811
440	131.4419067
441	131.3087544
442	131.1405677
443	131.0027627
444	130.8107031
445	130.6508406
446	130.4808313
447	130.2798029
448	130.1318717
449	129.9726411
450	129.7994617
451	129.6012109
452	129.492547
453	129.2961983
454	129.1941854
455	129.0248199
456	128.9659503
457	128.7614797
458	128.49625
459	128.3384564
460	128.1440282
461	128.0557319
462	127.8971342
463	127.7899464
464	127.6248156
465	127.4864894
466	127.2967002
467	127.0803618
468	127.0005143
469	126.8415688
470	126.6757083
471	126.4973096
472	126.366021
473	126.190859
474	126.0831713
475	125.930879
476	125.7743224
477	125.6054181
478	125.5117823
479	125.3493686
480	125.1840961
481	125.1085369
482	124.9794612
483	124.8371596
484	124.682697
485	124.4996698
486	124.3893597
487	124.2023213
488	124.042992
489	123.8803512
490	123.7438162
491	123.6428581
492	123.5370551
493	123.4619653
494	123.309782
495	123.0012503
496	122.7899524
497	122.6303785
498	122.5354296
499	122.3490626
500	122.2322721
501	122.0314912
502	121.8771656
503	121.7114323
504	121.5301998
505	121.3886957
506	121.1749329
507	121.0693255
508	120.9249809
509	120.812661
510	120.6503091
511	120.5617342
512	120.4394772
513	120.296844
514	120.0811685
515	120.0185644
516	119.8226744
517	119.6964735
518	119.6223525
519	119.4272137
520	119.2581559
521	119.1068777
522	118.9448881
523	118.8855475
524	118.7573143
525	118.6057683
526	118.4728587
527	118.3310188
528	118.1717155
529	118.0240153
530	117.8385051
