iter	Passed	Remaining
0	3	2119
1	9	2549
2	12	2142
3	15	2001
4	21	2249
5	24	2122
6	26	1983
7	29	1915
8	34	1990
9	36	1900
10	38	1829
11	41	1774
12	42	1712
13	44	1659
14	49	1698
15	53	1715
16	55	1689
17	58	1653
18	60	1627
19	62	1595
20	64	1570
21	67	1562
22	70	1556
23	73	1546
24	75	1530
25	77	1508
26	81	1527
27	86	1549
28	89	1546
29	91	1522
30	92	1495
31	94	1471
32	99	1497
33	101	1481
34	103	1466
35	105	1451
36	107	1438
37	109	1424
38	112	1421
39	114	1405
40	117	1400
41	119	1391
42	121	1377
43	123	1365
44	125	1360
45	128	1356
46	130	1342
47	132	1329
48	133	1314
49	135	1301
50	137	1293
51	140	1291
52	142	1288
53	145	1287
54	147	1275
55	149	1264
56	150	1252
57	154	1258
58	158	1265
59	161	1268
60	163	1259
61	165	1248
62	166	1236
63	169	1236
64	171	1231
65	174	1227
66	176	1219
67	178	1211
68	180	1206
69	182	1200
70	184	1197
71	187	1194
72	189	1190
73	191	1185
74	194	1182
75	197	1183
76	200	1181
77	202	1176
78	205	1174
79	207	1170
80	210	1167
81	214	1171
82	217	1173
83	221	1179
84	224	1178
85	229	1189
86	232	1188
87	235	1185
88	241	1197
89	244	1199
90	247	1198
91	250	1195
92	255	1204
93	258	1202
94	261	1199
95	263	1195
96	266	1191
97	272	1204
98	276	1204
99	278	1200
100	282	1200
101	288	1215
102	292	1214
103	295	1212
104	297	1207
105	301	1210
106	304	1205
107	306	1198
108	307	1191
109	309	1184
110	311	1180
111	317	1189
112	321	1188
113	324	1187
114	329	1190
115	333	1191
116	335	1187
117	338	1183
118	340	1177
119	341	1169
120	343	1164
121	345	1157
122	348	1156
123	350	1151
124	352	1146
125	354	1140
126	356	1134
127	358	1127
128	359	1120
129	360	1113
130	363	1110
131	365	1104
132	367	1098
133	368	1092
134	370	1086
135	371	1079
136	372	1072
137	374	1065
138	375	1058
139	376	1052
140	379	1049
141	381	1044
142	382	1038
143	384	1032
144	385	1026
145	387	1020
146	388	1014
147	390	1009
148	391	1004
149	393	1000
150	395	996
151	397	992
152	399	987
153	401	982
154	402	976
155	404	971
156	405	967
157	407	961
158	410	959
159	412	955
160	414	952
161	416	948
162	417	943
163	419	938
164	420	933
165	422	928
166	425	927
167	428	926
168	430	922
169	432	918
170	434	914
171	435	909
172	437	904
173	438	900
174	441	898
175	443	895
176	445	890
177	447	886
178	448	882
179	450	877
180	451	873
181	453	868
182	455	866
183	457	863
184	460	860
185	461	856
186	463	853
187	465	848
188	466	844
189	468	840
190	470	836
191	473	835
192	475	832
193	477	829
194	479	825
195	480	821
196	482	817
197	483	813
198	486	811
199	488	808
200	490	805
201	492	801
202	493	797
203	495	794
204	497	790
205	498	786
206	500	783
207	502	780
208	504	777
209	506	774
210	508	770
211	509	766
212	510	762
213	512	758
214	513	754
215	516	753
216	518	750
217	520	747
218	522	743
219	523	740
220	525	736
221	526	732
222	527	729
223	529	725
224	530	721
225	531	717
226	533	713
227	534	710
228	537	708
229	538	704
230	539	701
231	541	697
232	542	693
233	543	690
234	545	686
235	546	683
236	548	679
237	549	677
238	551	674
239	553	671
240	554	667
241	556	664
242	557	660
243	558	657
244	561	654
245	562	651
246	564	648
247	566	646
248	568	643
249	570	640
250	571	637
251	573	634
252	574	631
253	576	628
254	577	625
255	578	621
256	580	619
257	582	616
258	584	613
259	586	610
260	587	607
261	588	604
262	591	602
263	592	599
264	594	596
265	596	593
266	598	591
267	600	588
268	601	586
269	603	583
270	604	579
271	605	576
272	607	573
273	608	571
274	610	568
275	612	566
276	614	563
277	616	560
278	617	557
279	618	554
280	620	551
281	621	548
282	622	545
283	623	542
284	625	539
285	626	536
286	628	534
287	630	532
288	632	529
289	633	526
290	634	523
291	635	520
292	637	517
293	638	515
294	640	512
295	642	509
296	643	507
297	645	504
298	647	502
299	648	499
300	650	496
301	651	494
302	653	491
303	654	488
304	655	485
305	657	483
306	659	481
307	661	479
308	663	476
309	664	473
310	665	471
311	667	468
312	669	466
313	670	463
314	671	460
315	673	458
316	675	456
317	677	453
318	679	451
319	680	448
320	681	446
321	683	443
322	684	440
323	685	438
324	687	435
325	689	433
326	691	431
327	692	428
328	694	426
329	695	423
330	697	421
331	698	418
332	700	416
333	701	413
334	703	411
335	705	409
336	707	407
337	708	404
338	710	402
339	711	399
340	713	397
341	715	395
342	717	392
343	719	391
344	721	389
345	723	386
346	724	384
347	726	381
348	727	379
349	728	376
350	730	374
351	732	372
352	733	369
353	735	367
354	737	365
355	739	363
356	740	361
357	742	358
358	743	356
359	745	354
360	746	351
361	747	349
362	749	346
363	751	344
364	753	342
365	754	340
366	756	337
367	757	335
368	759	333
369	761	331
370	762	328
371	763	326
372	765	324
373	767	322
374	769	320
375	770	317
376	772	315
377	773	313
378	774	310
379	776	308
380	778	306
381	779	304
382	781	301
383	783	299
384	785	297
385	786	295
386	788	293
387	789	290
388	790	288
389	792	286
390	794	284
391	795	282
392	797	280
393	799	277
394	800	275
395	802	273
396	803	271
397	805	269
398	806	266
399	807	264
400	809	262
401	810	260
402	812	258
403	814	256
404	816	254
405	818	251
406	819	249
407	821	247
408	822	245
409	823	243
410	825	240
411	827	239
412	829	237
413	831	235
414	833	232
415	834	230
416	836	228
417	837	226
418	839	224
419	840	222
420	841	219
421	843	217
422	846	216
423	847	213
424	849	211
425	850	209
426	854	208
427	855	205
428	856	203
429	859	201
430	861	199
431	863	197
432	865	195
433	867	193
434	868	191
435	869	189
436	871	187
437	872	185
438	874	183
439	876	181
440	878	179
441	880	177
442	881	175
443	883	173
444	884	171
445	886	168
446	888	166
447	890	164
448	892	162
449	894	160
450	895	158
451	897	156
452	899	154
453	900	152
454	901	150
455	903	148
456	907	146
457	910	145
458	912	143
459	914	141
460	915	139
461	917	136
462	919	135
463	921	133
464	925	131
465	927	129
466	929	127
467	930	125
468	932	123
469	935	121
470	937	119
471	940	117
472	942	115
473	945	113
474	948	111
475	950	109
476	953	107
477	956	106
478	958	104
479	961	102
480	963	100
481	965	98
482	968	96
483	974	94
484	978	92
485	980	90
486	985	89
487	992	87
488	995	85
489	998	83
490	1002	81
491	1005	79
492	1009	77
493	1011	75
494	1015	73
495	1019	71
496	1024	70
497	1025	67
498	1027	65
499	1031	63
500	1033	61
501	1034	59
502	1036	57
503	1038	55
504	1039	53
505	1041	51
506	1042	49
507	1046	47
508	1048	45
509	1050	43
510	1051	41
511	1053	39
512	1055	37
513	1056	34
514	1058	32
515	1061	30
516	1063	28
517	1066	26
518	1067	24
519	1069	22
520	1070	20
521	1072	18
522	1073	16
523	1076	14
524	1079	12
525	1081	10
526	1082	8
527	1084	6
528	1085	4
529	1087	2
530	1088	0
